"Согласно философии Фельдмана, что символизирует «океан» в метафоре мира?",Океан символизирует философию.
"В метафоре Фельдмана, что такое «дискурс»?","Это отдельный остров в океане философии, где философ со своим учением и учениками."
"В философии Фельдмана, «экскурс» — это _____, которые плавают от острова к острову, создавая бессмысленную смесь учений.",корабли со студентами и преподавателями
"Какие четыре продукта, согласно Фельдману, философия может дать остальному человечеству?","Картину мира, систему ценностей, знание своего Я, а также точки и способы выбора."
Как называется первое правило дискурса Фельдмана?,"«Держи термин», что означает отсутствие синонимов для введенных понятий."
"В чем суть второго правила дискурса, «Одинокий зомби»?","Одинокое понятие мертво; понятия должны рассматриваться в связке с другими (двойками, тройками, рядами)."
"Что означает третье правило дискурса, «Задача на заднем плане»?","За каждым рассуждением стоит задача, которая является мерой его полезности."
"Какие четыре вопроса необходимо задать, согласно четвертому правилу «Оправдание ряда»?",Однороден ли ряд? Полон ли ряд? Единственный ли тут порядок? Откуда этот ряд взялся?
"Для чего необходимо пятое правило, «Структуризация»?","Для замены бесконечных разнообразий конечными рядами понятий, чтобы успеть принять решение в точке выбора."
"Каков алгоритм шестого правила, «Обратная реконструкция», при несогласии с утверждением?","Определить, является ли утверждение частью постановки задачи или её решения, и если постановка не ваша, игнорировать его."
"В чем заключается седьмое правило дискурса, «Самоприменимость»?",Теория мышления сама является частью мышления и должна соблюдать установленные ею же правила.
"Что гласит восьмое правило дискурса, «Открытость навсегда»?",Любая закрытая тема может быть вновь открыта при появлении новых идей или данных.
Кому принадлежит определение философии как изучения наиболее общих законов всего?,Это определение из старого советского учебника философии.
Кто определил философию как искусство задавать вопросы?,Сократ.
Какое определение философии дал Бертран Рассел?,"Философия решает проблемы, которые отказались решать все остальные."
"Согласно экзистенциалистам, таким как Альбер Камю, философия — это...","...последнее, что может помочь человеку выжить."
Как определял философию ранний Витгенштейн?,"Философия занимается исправлением языка, чтобы избежать псевдо-проблем."
Как определял философию поздний Витгенштейн?,"Философия занимается взаимопониманием людей и тем, как изменить язык для его достижения."
"Почему, согласно тексту, существует ровно шесть определений философии?","Потому что существует шесть возможных комбинаций конфликтующих сторон из трех типов: вещь, человек и группа."
Что является надсистемой для философии в модели гуманитарного знания Фельдмана?,Гуманитарное знание.
Назовите четыре подсистемы философии по Фельдману.,"История философии (нулевой этаж), первая философия (бытие и познание), вторая философия (человек и общество), метафилософия (чердак)."
"В «первой философии» Фельдмана, материальное — это _____, а идеальное — это его описание.",непрерывный нечленораздельный поток жизни
"Назовите первые четыре идеальные формы, связанные с опытом (прошлым).","Событие, факт, объект, обобщение."
"Назовите вторые четыре идеальные формы, связанные с воображением (будущим).","Способы, ценности, представления, знания."
Какой критерий качества (истинности) применяется к протоколам событий?,Точность и обилие деталей.
"Какой критерий качества (истинности) применяется к нарративам, состоящим из фактов?",Ясность и убедительность.
Какой внешний критерий качества применим к технологиям (способам)?,Полезность.
Какие три внутренних критерия качества технологий (способов) упоминаются в тексте?,"Безопасность, предсказуемость, устойчивость."
Какие пять составляющих необходимы для существования знания согласно П-процедуре?,"Часть реальности, модель (карта), список задач, живой наблюдатель и его оборудование."
Как в рамках П-процедуры отличить истинное знание от ложного и сомнительного?,"По проценту успешного решения задач: выше 95% — истинно, ниже 50% — ложно, между — сомнительно."
В чем заключается смысл парадокса епископа Беркли и как он опровергается в рамках П-процедуры?,"Смысл в неопровержимости солипсизма теоретически; он опровергается необходимостью реального наблюдателя с оборудованием, который взаимодействует с миром."
В чем разница между ЗАДАЧЕЙ и задачей в дискурсе Фельдмана?,"ЗАДАЧА — это проблема, обсужденная с другими, с согласованными критериями решения, в то время как задача — это просто человек против вещи."
